Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,monthly_k,monthly_d,monthly_j,monthly_k_slope,monthly_d_slope,monthly_j_slope,golden_cross,death_cross,cross_status,bars_since_golden_cross,buy_signal,sell_signal,buy_signal_t1,sell_signal_t1,position,cash,original_cash,short_proceeds,equity,,,,,,long_positions,short_positions,margin_cash,returns,trade_count,win_count,loss_count,win_rate,position_type,dividends_received,cumulative_dividends,daily_margin_cost,daily_short_borrow_cost,daily_mmf_interest,cumulative_borrowing_costs,cumulative_mmf_interest,daily_return,peak_equity,drawdown,,cagr,sharpe_ratio,sortino_ratio,max_drawdown,benchmark_equity,benchmark_returns,benchmark_drawdown,benchmark_cagr,benchmark_max_drawdown,benchmark_sharpe_ratio
2018-12-27,3.247868283,3.282333013,3.103810528,3.252331257,637044000,0,0,11.88765895,20.114688,-4.566399132,-0.367453226,-0.587644932,0.072930185,0,0,0,7,0,0,0,0,0,13408.56242,13408.56242,0,13408.56242,,,,,,0,0,0,0.340856242,1,1,0,0.833333333,long,0,13.52317295,0,0,1.074727188,0,280.2252821,8.02E-05,13408.56242,0,,0.062156622,0.359985195,0.156378563,-0.492948013,12713.25696,0.271325696,-0.545770403,0.526654282,-0.663081651,1.12687273
2018-12-28,3.272910892,3.406554882,3.231007796,3.313822269,628728000,0,0,11.72469895,19.55535539,-3.936613936,-0.162960003,-0.559332603,0.629785197,0,0,0,7,0,0,0,0,0,13409.63724,13409.63724,0,13409.63724,,,,,,0,0,0,0.340963724,1,1,0,0.833333333,long,0,13.52317295,0,0,1.074813337,0,281.3000955,8.02E-05,13409.63724,0,,0.062156622,0.359985195,0.156378563,-0.492948013,12953.62333,0.295362333,-0.537182397,0.526654282,-0.663081651,1.12687273
2018-12-31,3.357213155,3.389694209,3.279357515,3.310103178,465140000,0,0,11.5623277,19.02248688,-3.35799065,-0.162371247,-0.532868513,0.578623285,0,0,0,7,0,0,0,0,0,13410.71214,13410.71214,0,13410.71214,,,,,,0,0,0,0.341071214,1,1,0,0.833333333,long,0,13.52317295,0,0,1.074899493,0,282.3749949,8.02E-05,13410.71214,0,,0.062156622,0.359985195,0.156378563,-0.492948013,12939.08552,0.293908552,-0.537701816,0.526654282,-0.663081651,1.12687273
2019-01-02,3.239189875,3.433580799,3.224560952,3.377544641,508752000,0,0,11.59711098,18.52746182,-2.263590693,0.034783279,-0.49502506,1.094399957,0,0,0,7,0,0,0,0,0,13411.8563,13411.8563,0,13411.8563,,,,,,0,0,0,0.34118563,1,1,0,0.833333333,long,0,13.52317295,0,0,1.144167901,0,283.5191629,8.53E-05,13411.8563,0,,0.062156622,0.359985195,0.156378563,-0.492948013,13202.71201,0.320271201,-0.528282754,0.526654282,-0.663081651,1.12687273
2019-01-03,3.317293305,3.351262172,3.166045243,3.17348361,705552000,0,0,11.06578799,18.0300169,-2.862669819,-0.53132299,-0.497444922,-0.599079126,0,0,0,7,0,0,0,0,0,13413.00057,13413.00057,0,13413.00057,,,,,,0,0,0,0.341300057,1,1,0,0.833333333,long,0,13.52317295,0,0,1.144265518,0,284.6634284,8.53E-05,13413.00057,0,,0.062156622,0.359985195,0.156378563,-0.492948013,12405.04408,0.240504408,-0.556782484,0.526654282,-0.663081651,1.12687273
2019-01-04,3.246628284,3.414984807,3.215882859,3.376801014,585620000,0,0,11.1316194,17.57012373,-1.745389272,0.065831405,-0.459893167,1.117280547,0,0,0,7,0,0,0,0,0,13414.14493,13414.14493,0,13414.14493,,,,,,0,0,0,0.341414493,1,1,0,0.833333333,long,0,13.52317295,0,0,1.144363144,0,285.8077915,8.53E-05,13414.14493,0,,0.062156622,0.359985195,0.156378563,-0.492948013,13199.80519,0.319980519,-0.528386611,0.526654282,-0.663081651,1.12687273
2019-01-07,3.434077189,3.592515821,3.382751811,3.555571556,709160000,0,0,11.68697592,17.17791388,0.705100016,0.555356527,-0.392209854,2.450489287,0,0,0,7,0,0,0,0,0,13415.28939,13415.28939,0,13415.28939,,,,,,0,0,0,0.341528939,1,1,0,0.833333333,long,0,13.52317295,0,0,1.144460778,0,286.9522523,8.53E-05,13415.28939,0,,0.062156622,0.359985195,0.156378563,-0.492948013,13898.61342,0.389861342,-0.503419022,0.526654282,-0.663081651,1.12687273
2019-01-08,3.637145791,3.639377514,3.3944049,3.467053652,786016000,0,0,11.96074813,16.83010283,2.222038745,0.27377221,-0.34781105,1.51693873,0,0,0,7,0,0,0,0,0,13416.43395,13416.43395,0,13416.43395,,,,,,0,0,0,0.341643395,1,1,0,0.833333333,long,0,13.52317295,0,0,1.14455842,0,288.0968107,8.53E-05,13416.43395,0,,0.062156622,0.359985195,0.156378563,-0.492948013,13552.59981,0.355259981,-0.515781678,0.526654282,-0.663081651,1.12687273
2019-01-09,3.518379287,3.582597962,3.467798054,3.535239935,617260000,0,0,12.40465645,16.53507307,4.143823224,0.443908321,-0.295029758,1.921784478,0,0,0,7,0,0,0,0,0,13417.57861,13417.57861,0,13417.57861,,,,,,0,0,0,0.341757861,1,1,0,0.833333333,long,0,13.52317295,0,0,1.144656071,0,289.2414668,8.53E-05,13417.57861,0,,0.062156622,0.359985195,0.156378563,-0.492948013,13819.13777,0.381913777,-0.506258593,0.526654282,-0.663081651,1.12687273
2019-01-10,3.515899753,3.609623846,3.455400384,3.600945711,523156000,0,0,13.07085904,16.30412547,6.604326188,0.666202587,-0.230947602,2.460502964,0,0,0,7,0,0,0,0,0,13418.72336,13418.72336,0,13418.72336,,,,,,0,0,0,0.341872336,1,1,0,0.833333333,long,0,13.52317295,0,0,1.14475373,0,290.3862205,8.53E-05,13418.72336,0,,0.062156622,0.359985195,0.156378563,-0.492948013,14075.97951,0.407597951,-0.497081942,0.526654282,-0.663081651,1.12687273
